LABEL; TEMPERATURE
Christen-Democratisch & Vlaams; +0.5
Groen; -1.0
Nieuw-Vlaamse Alliantie; +1.5
Socialistische Partij - Anders; -1.5
Vlaams Belang; +2.0
Open Vlaamse Liberalen en Democraten; +1.0
Partij van de Arbeid van België; -1.5
Parti Socialiste; -1.5
Mouvement Réformateur; +1.0
Centre Démocrate Humaniste; -0.5
Ecologistes Confédérés pour l'Organisation de Luttes Originales; -1.0
Parti du Travail de Belgique; -2.0
Démocrate Fédéraliste Indépendant; 0.0
Parti Populaire; +1.5
Christlich Soziale Partei; -0.5
Sozialistische Partei; -1.5
Partei für Freiheit und Fortschritt; +1.0
Pro deutschsprachige Gemeinschaft; 0.0
Ecologistes Confédérés pour l'Organisation de Luttes Originales (G.); -1.0
Other parties from Dutch-speaking electoral college; 0.0
Other parties from French-speaking electoral college; 0.0
Other parties from German-speaking electoral college; 0.0
Bulgarska sotsialisticheska partiya/Българска социалистическа партия; -1.5
Dvizhenie za prava i svobodi/Движение за права и свободи; -0.5
Coalition (Grazhdani za evropeysko razvitie na Balgariya + Sayuz na demokratichnite sili / Граждани за европейско развитие на България + Съюз на демократичните сили); +1.0
Koalitsiya za Bulgaria / Коалиция за България ( Alternativa za balgarsko vazrazhdane et al. / Алтернатива за българско възраждане и други); -1.0
Volya / Воля; +1.5
Demokratichna Bulgaria / Демократична България; +0.5
Partiya Ataka/Партия Атака; +2.0
VMRO - Bulgarsko Natsionalno Dvizhenie / ВМРО - Българско национално движение; +1.5
Natsionalen Front za Spasenie na Bulgaria/Национален фронт за спасение на България; +2.0
Other parties; 0.0
Občanská demokratická strana; +1.0
Česká strana sociálně demokratická; -1.5
Komunistická strana Čech a Moravy; -2.0
Křesťanská a demokratická unie – Československá strana lidová; +0.5
STAROSTOVÉ (STAN) s regionálními partnery a TOP 09; +1.0
ANO 2011; +0.5
Česká pirátská strana; -0.5
Svoboda a přímá demokracie; +2.0
HLAS; -1.0
ANO, vytrollíme europarlament; 0.0
Vědci pro Českou republiku; 0.0
Koalice Rozumní, ND; +1.0
Socialdemokratiet; -1.5
Det Radikale Venstre; -0.5
Det Konservative Folkeparti; +1.0
Socialistisk Folkeparti; -1.5
Liberal Alliance; +1.0
Folkebevægelsen mod EU; -1.0
Dansk Folkeparti; +2.0
Venstre, Danmarks Liberale Parti; +1.0
"""Enhedslisten, de Rød-Grønne"""; -2.0
Alternativet; -1.0
Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.; +1.0
Sozialdemokratische Partei Deutschlands; -1.5
Bündnis 90/Die Grünen; -1.0
DIE LINKE; -2.0
Alternative für Deutschland; +2.0
Freie Demokratische Partei; +1.0
FREIE WÄHLER; +0.5
Piratenpartei Deutschland; -0.5
PARTEI MENSCH UMWELT TIERSCHUTZ; -1.0
