DIVISION_ID,ID,TYPE,ACRONYM,LABEL,MEMBER_OF_COALITION,COALITION_MEMBERS,name,alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code
BE,BE01,PARTY,CVP ,Christelijke Volkspartij,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE02,PARTY,PSC ,Parti Social Chrétien,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE03,PARTY,MCC ,Mouvement des Citoyens pour le Changement,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE04,PARTY,CSP,Christeliche soziale Partei ,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE05,PARTY,SP ,Socialistische Partij,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE06,PARTY,PS ,Parti Socialiste,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE07,PARTY,VLD ,Vlaamse Liberalen Demokraten,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE08,PARTY,PRL-FDF ,Parti Réformateur Liberal-Front Democratique Francophone,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE09,PARTY,AGALEV ,Anders gaan leven,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE10,PARTY,ECOLO ,Ecologistes Confédérés pour I’organisation de luttes originales,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE11,PARTY,VU-ID21  ,Integrale Democratie voor de 21ste eeuw,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE12,PARTY,Vl. Blok,Vlaams Blok,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
FBE,BE05,PARTY,SP ,Socialistische Partij,,,,,,,,,,,,,
FBE,BE09,PARTY,AGALEV ,Anders gaan leven,,,,,,,,,,,,,
FBE,BE11,PARTY,VU-ID21  ,Integrale Democratie voor de 21ste eeuw,,,,,,,,,,,,,
FBE,BE01,PARTY,CVP ,Christelijke Volkspartij,,,,,,,,,,,,,
FBE,BE07,PARTY,VLD ,Vlaamse Liberalen Demokraten,,,,,,,,,,,,,
FBE,BE12,PARTY,Vl. Blok,Vlaams Blok,,,,,,,,,,,,,
FBE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,,,,,,,,,,,,
GBE,BE04,PARTY,CSP,Christeliche soziale Partei ,,,,,,,,,,,,,
GBE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,,,,,,,,,,,,
WBE,BE06,PARTY,PS ,Parti Socialiste,,,,,,,,,,,,,
WBE,BE10,PARTY,ECOLO ,Ecologistes Confédérés pour I’organisation de luttes originales,,,,,,,,,,,,,
WBE,BE02,PARTY,PSC ,Parti Social Chrétien,,,,,,,,,,,,,
WBE,BE03,PARTY,MCC ,Mouvement des Citoyens pour le Changement,,,,,,,,,,,,,
WBE,BE08,PARTY,PRL-FDF ,Parti Réformateur Liberal-Front Democratique Francophone,,,,,,,,,,,,,
WBE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,,,,,,,,,,,,
DK,DK01,PARTY,KONS,Konservative Folkeparti,,,Denmark,DK,DNK,208.0,ISO 3166-2:DK,Europe,Northern Europe,,150.0,154.0,
DK,DK02,PARTY,SOC,Socialdemokraterna,,,Denmark,DK,DNK,208.0,ISO 3166-2:DK,Europe,Northern Europe,,150.0,154.0,
DK,DK03,PARTY,V,Venstre,,,Denmark,DK,DNK,208.0,ISO 3166-2:DK,Europe,Northern Europe,,150.0,154.0,
DK,DK04,PARTY,RV,Radikale Venstre,,,Denmark,DK,DNK,208.0,ISO 3166-2:DK,Europe,Northern Europe,,150.0,154.0,
DK,DK05,PARTY,SF,Socialistisk Folkeparti,,,Denmark,DK,DNK,208.0,ISO 3166-2:DK,Europe,Northern Europe,,150.0,154.0,
DK,DK06,PARTY,DF,Dansk Folkeparti,,,Denmark,DK,DNK,208.0,ISO 3166-2:DK,Europe,Northern Europe,,150.0,154.0,
DK,DK07,PARTY,Juni.B  ,Junibevægelsen,,,Denmark,DK,DNK,208.0,ISO 3166-2:DK,Europe,Northern Europe,,150.0,154.0,
DK,DK08,PARTY,Folk.B ,Folkebevægelsen Mot EC,,,Denmark,DK,DNK,208.0,ISO 3166-2:DK,Europe,Northern Europe,,150.0,154.0,
DK,DK90,PARTY,Other parties,Other parties,,,Denmark,DK,DNK,208.0,ISO 3166-2:DK,Europe,Northern Europe,,150.0,154.0,
DE,DE01,PARTY,CDU,Christlich-Demokratische Union,,,Germany,DE,DEU,276.0,ISO 3166-2:DE,Europe,Western Europe,,150.0,155.0,
DE,DE02,PARTY,CSU,Christlich-Soziale Union,,,Germany,DE,DEU,276.0,ISO 3166-2:DE,Europe,Western Europe,,150.0,155.0,
DE,DE03,PARTY,SPD,Sozialdemokratische Partei Deutschlands,,,Germany,DE,DEU,276.0,ISO 3166-2:DE,Europe,Western Europe,,150.0,155.0,
DE,DE04,PARTY,Grüne,Bündnis 90 - Die Grünen,,,Germany,DE,DEU,276.0,ISO 3166-2:DE,Europe,Western Europe,,150.0,155.0,
DE,DE05,PARTY,PDS,Partei des Demokratischen Sozialismus,,,Germany,DE,DEU,276.0,ISO 3166-2:DE,Europe,Western Europe,,150.0,155.0,
DE,DE90,PARTY,Other parties,Other parties,,,Germany,DE,DEU,276.0,ISO 3166-2:DE,Europe,Western Europe,,150.0,155.0,
IE,IE01,PARTY,FG,Fine Gael - The United Ireland Party,,,Ireland,IE,IRL,372.0,ISO 3166-2:IE,Europe,Northern Europe,,150.0,154.0,
