DIVISION_ID,ID,TYPE,ACRONYM,LABEL,MEMBER_OF_COALITION,COALITION_MEMBERS,name,alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code
BE,BE01,PARTY,CD&V,Christen-Democratisch en Vlaams,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE02,PARTY,cdH,Centre Démocrate Humaniste,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE03,PARTY,CSP,Christlich Soziale Partei,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE04,PARTY,PS,Parti Socialiste,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE05,PARTY,sp.a,Socialistische Partij - Anders,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE06,PARTY,N-VA,Nieuw-Vlaamse Alliantie,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE07,PARTY,Open VLD,Open Vlaamse Liberalen en Democraten,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE08,PARTY,MR,Mouvement Réformateur,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE09,PARTY,ECOLO,Ecologistes Confédérés pour l'Organisation de Luttes Originales ,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE10,PARTY,Groen,Groen,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE11,PARTY,Vl. Belang,Vlaams Belang,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
