LABEL;name;VOTES_PERCENT;TEMPERATURE;WEIGHTED_TEMP
Nieuw-Vlaamse Alliantie;Belgium;13.97;1.5;20.955000000000002
Nieuw-Vlaamse Alliantie;Belgium;22.09;1.5;33.135
Vlaams Belang;Belgium;14.5;2.0;29.0
Vlaams Belang;Belgium;22.94;2.0;45.88
Open Vlaamse Liberalen en Democraten;Belgium;5.76;1.0;5.76
Open Vlaamse Liberalen en Democraten;Belgium;9.11;1.0;9.11
Christen-Democratisch en Vlaams;Belgium;8.34;0.5;4.17
Christen-Democratisch en Vlaams;Belgium;13.2;0.5;6.6
Groen;Belgium;6.32;-1.0;-6.32
Groen;Belgium;10.0;-1.0;-10.0
Vooruit;Belgium;7.99;-1.5;-11.985
Vooruit;Belgium;12.64;-1.5;-18.96
Partij van de Arbeid van België;Belgium;5.13;-1.5;-7.695
Partij van de Arbeid van België;Belgium;8.12;-1.5;-12.18
Parti Socialiste;Belgium;20.52;-1.5;-30.78
Parti Socialiste;Belgium;7.43;-1.5;-11.145
Ecologistes Confédérés pour l'Organisation de Luttes Originales;Belgium;10.06;-1.0;-10.06
Ecologistes Confédérés pour l'Organisation de Luttes Originales;Belgium;10.06;-1.0;-10.06
Ecologistes Confédérés pour l'Organisation de Luttes Originales;Belgium;3.64;-1.0;-3.64
Ecologistes Confédérés pour l'Organisation de Luttes Originales;Belgium;3.64;-1.0;-3.64
Mouvement Réformateur;Belgium;34.88;1.0;34.88
Mouvement Réformateur;Belgium;12.62;1.0;12.62
Les Engagés;Belgium;14.28;-0.5;-7.14
Les Engagés;Belgium;5.17;-0.5;-2.585
Démocrate Fédéraliste Indépendant;Belgium;2.91;0.0;0.0
Démocrate Fédéraliste Indépendant;Belgium;1.05;0.0;0.0
Parti du Travail de Belgique;Belgium;15.38;-2.0;-30.76
Parti du Travail de Belgique;Belgium;5.57;-2.0;-11.14
Christlich Soziale Partei;Belgium;0.21;-0.5;-0.105
Christlich Soziale Partei;Belgium;0.21;-0.5;-0.105
Christlich Soziale Partei;Belgium;34.93;-0.5;-17.465
Christlich Soziale Partei;Belgium;34.93;-0.5;-17.465
Sozialistische Partei;Belgium;0.07;-1.5;-0.10500000000000001
Sozialistische Partei;Belgium;11.82;-1.5;-17.73
Partei für Freiheit und Fortschritt;Belgium;0.08;1.0;0.08
Partei für Freiheit und Fortschritt;Belgium;13.57;1.0;13.57
Pro deutschsprachige Gemeinschaft;Belgium;0.1;0.0;0.0
Pro deutschsprachige Gemeinschaft;Belgium;0.1;0.0;0.0
Pro deutschsprachige Gemeinschaft;Belgium;16.43;0.0;0.0
Pro deutschsprachige Gemeinschaft;Belgium;16.43;0.0;0.0
Ecologistes Confédérés pour l'Organisation de Luttes Originales (G.);Belgium;0.07;-1.0;-0.07
Ecologistes Confédérés pour l'Organisation de Luttes Originales (G.);Belgium;11.1;-1.0;-11.1
Other parties from Dutch-speaking electoral college;Belgium;1.2;0.0;0.0
Other parties from Dutch-speaking electoral college;Belgium;1.9;0.0;0.0
Other parties from French-speaking electoral college;Belgium;1.97;0.0;0.0
Other parties from French-speaking electoral college;Belgium;0.71;0.0;0.0
Other parties from German-speaking electoral college;Belgium;0.07;0.0;0.0
Other parties from German-speaking electoral college;Belgium;12.15;0.0;0.0
Nieuw-Vlaamse Alliantie;;13.97;1.5;20.955000000000002
Nieuw-Vlaamse Alliantie;;22.09;1.5;33.135
Vlaams Belang;;14.5;2.0;29.0
Vlaams Belang;;22.94;2.0;45.88
Open Vlaamse Liberalen en Democraten;;5.76;1.0;5.76
Open Vlaamse Liberalen en Democraten;;9.11;1.0;9.11
Christen-Democratisch en Vlaams;;8.34;0.5;4.17
Christen-Democratisch en Vlaams;;13.2;0.5;6.6
Groen;;6.32;-1.0;-6.32
Groen;;10.0;-1.0;-10.0
Vooruit;;7.99;-1.5;-11.985
Vooruit;;12.64;-1.5;-18.96
Partij van de Arbeid van België;;5.13;-1.5;-7.695
Partij van de Arbeid van België;;8.12;-1.5;-12.18
Other parties from Dutch-speaking electoral college;;1.2;0.0;0.0
Other parties from Dutch-speaking electoral college;;1.9;0.0;0.0
Sozialistische Partei;;0.07;-1.5;-0.10500000000000001
Sozialistische Partei;;11.82;-1.5;-17.73
Partei für Freiheit und Fortschritt;;0.08;1.0;0.08
Partei für Freiheit und Fortschritt;;13.57;1.0;13.57
Other parties from German-speaking electoral college;;0.07;0.0;0.0
Other parties from German-speaking electoral college;;12.15;0.0;0.0
Parti Socialiste;;20.52;-1.5;-30.78
Parti Socialiste;;7.43;-1.5;-11.145
Ecologistes Confédérés pour l'Organisation de Luttes Originales;;10.06;-1.0;-10.06
Ecologistes Confédérés pour l'Organisation de Luttes Originales;;10.06;-1.0;-10.06
Ecologistes Confédérés pour l'Organisation de Luttes Originales;;3.64;-1.0;-3.64
Ecologistes Confédérés pour l'Organisation de Luttes Originales;;3.64;-1.0;-3.64
Mouvement Réformateur;;34.88;1.0;34.88
Mouvement Réformateur;;12.62;1.0;12.62
Les Engagés;;14.28;-0.5;-7.14
Les Engagés;;5.17;-0.5;-2.585
Démocrate Fédéraliste Indépendant;;2.91;0.0;0.0
Démocrate Fédéraliste Indépendant;;1.05;0.0;0.0
Parti du Travail de Belgique;;15.38;-2.0;-30.76
Parti du Travail de Belgique;;5.57;-2.0;-11.14
Other parties from French-speaking electoral college;;1.97;0.0;0.0
Other parties from French-speaking electoral college;;0.71;0.0;0.0
Coalition Grazhdani za evropeysko razvitie na Balgariya - Sayuz na demokratichnite sili/Граждани за европейско развитие на България - Съюз на демократичните сили;Bulgaria;23.55;1.0;23.55
Bulgarska sotsialisticheska partiy/Българска социалистическа партия;Bulgaria;7.01;-1.5;-10.515
Dvizhenie za prava i svobodi/Движение за права и свободи;Bulgaria;14.66;-0.5;-7.33
Coalition Prodalzhavame promyanata – Demokratichna Balgariya/Продължаваме промяната – Демократична България;Bulgaria;14.45;0.5;7.225
Vazrazhdane/Възраждане;Bulgaria;13.98;2.0;27.96
Ima takav narod/Има такъв народ;Bulgaria;6.04;1.0;6.04
Other parties;Bulgaria;20.31;0.0;0.0
ANO 2011;Czechia;26.14;0.5;13.07
Česká pirátská strana;Czechia;6.2;-0.5;-3.1
Coalition Starostové a osobnosti pro Evropu Starostové a nezávislí, Starostové pro Liberecký kraj;Czechia;8.7;0.5;4.35
Coalition Stačilo! (Komunistická strana Čech a Moravy, Česká strana národně sociální, Spojení demokraté – Sdružení nezávislých);Czechia;9.56;-2.0;-19.12
Strana Svobodných Občanů;Czechia;1.76;1.5;2.64
Coalition SPOLU (Občanská demokratická strana, Křesťanská a demokratická unie – Československá strana lidová, Tradice Odpovědnost Prosperita 09);Czechia;22.27;1.0;22.27
Strana zelených;Czechia;1.55;-1.0;-1.55
Coalition Přísaha a Motoristé (Přísaha – občanské hnutí Roberta Šlachty, AUTO - Motoristé sobě);Czechia;10.26;1.0;10.26
Coalition SPD a Trikolora (Svoboda a přímá demokracie, Trikolóra hnutí občanů);Czechia;5.73;2.0;11.46
Other parties;Czechia;3.82;0.0;0.0
Venstre, Danmarks Liberale Parti;Denmark;14.72;1.0;14.72
Enhedslisten - De Rød-Grønne;Denmark;7.04;-2.0;-14.08
Danmarksdemokraterne - Inger Støjberg;Denmark;7.39;1.5;11.084999999999999
Other parties;Denmark;0.0;0.0;0.0
Sozialdemokratische Partei Deutschlands;Germany;13.9;-1.5;-20.85
Bündnis 90/Die Grünen;Germany;11.9;-1.0;-11.9
Alternative für Deutschland;Germany;15.9;2.0;31.8
Die Linke;Germany;2.7;-2.0;-5.4
Freie Demokratische Partei;Germany;5.2;1.0;5.2
Freie Wähler;Germany;2.7;0.5;1.35
Partei Mensch Umwelt Tierschutz;Germany;1.4;-1.0;-1.4
Bündnis Sahra Wagenknecht - Für Vernunft und Gerechtigkeit;Germany;6.2;-1.5;-9.3
Piratenpartei Deutschland;Germany;0.5;-0.5;-0.25
Ökologisch-Demokratische Partei;Germany;0.6;-1.0;-0.6
Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;Germany;1.9;0.0;0.0
Volt Deutschland;Germany;2.6;-0.5;-1.3
Partei des Fortschritts;Germany;0.6;0.0;0.0
Other parties;Germany;3.3;0.0;0.0
Eesti Reformierakond;Estonia;17.9;1.0;17.9
Sotsiaaldemokraatlik Erakond;Estonia;19.3;-1.5;-28.950000000000003
Eesti Keskerakond;Estonia;12.4;-0.5;-6.2
Eesti Konservatiivne Rahvaerakond;Estonia;14.8;2.0;29.6
Isamaa Erakond;Estonia;21.5;1.0;21.5
Erakond Eesti 200;Estonia;2.6;0.5;1.3
Erakond Eestimaa Rohelised;Estonia;0.6;-1.0;-0.6
Erakond Parempoolsed;Estonia;6.8;1.0;6.8
KOOS organisatsioon osutab suveräänsusele;Estonia;3.1;1.0;3.1
Other parties;Estonia;1.0;0.0;0.0
Fine Gael;Ireland;20.79;1.0;20.79
Fianna Fáil – The Republican Party/Fianna Fáil - An Páirtí Poblachtánach;Ireland;20.44;0.5;10.22
Independent/Neamhspleách;Ireland;13.97;0.0;0.0
Sinn Féin;Ireland;11.14;-1.5;-16.71
Green Party/An Comhaontas Glas;Ireland;5.36;-1.0;-5.36
The Labour Party/Páirtí an Lucht Oibre;Ireland;3.38;-1.0;-3.38
People Before Profit–Solidarity/Dlúthpháirtíocht–Pobal Seachas Brabús;Ireland;1.82;-2.0;-3.64
Social Democrats/Daonlathaithe Sóisialta;Ireland;2.95;-1.0;-2.95
Aontú;Ireland;3.76;0.5;1.88
Other parties;Ireland;5.58;0.0;0.0
Néa Dimokratía/Νέα Δημοκρατία;;28.31;1.0;28.31
Sinaspismós Rizospastikís Aristerás/Συνασπισμός Ριζοσπαστικής Αριστεράς;;14.92;-2.0;-29.84
PASOK – Kínima Allagís/ΠΑΣΟΚ – Κίνημα Αλλαγής;;12.79;-1.5;-19.185
Kommounistikó Kómma Elládas/Κομμουνιστικό Κόμμα Ελλάδας;;9.25;-2.0;-18.5
Ellinikí Lýsi/Ελληνική Λύση;;9.3;2.0;18.6
Μétopo Evropaikís Realistikís Anypakoís/Μέτωπο Ευρωπαϊκής Ρεαλιστικής Ανυπακοής;;2.54;-1.5;-3.81
Plefsi Eleftherias/Πλεύση Ελευθερίας;;3.4;-1.5;-5.1
Dimokratikó Patriotikó Kínima “Níki”/Δημοκρατικό Πατριωτικό Κίνημα “Νίκη”;;4.37;1.5;6.555
Dimokrátes/Δημοκράτες;;1.45;0.0;0.0
Foni Logikis/Φωνή λογικής;;3.04;0.0;0.0
Kosmos/Kόσμος;;1.08;0.0;0.0
Other parties;;7.1;0.0;0.0
Partido Popular;Spain;34.21;1.5;51.315
