LABEL;name;VOTES_PERCENT;TEMPERATURE;WEIGHTED_TEMP
ANO 2011;Czechia;16.13;0.5;8.065
Alternative für Deutschland;Germany;7.1;2.0;14.2
Arbetarepartiet–Socialdemokraterna;Sweden;24.19;-1.5;-36.285000000000004
Bloco de Esquerda;Portugal;4.93;-2.0;-9.86
Bündnis 90/Die Grünen;Germany;10.7;-1.0;-10.7
Centerpartiet;Sweden;6.49;0.5;3.245
Centre Démocrate Humaniste;Belgium;11.36;-0.5;-5.68
Centre Démocrate Humaniste;Belgium;4.14;-0.5;-2.07
Centre Démocrate Humaniste;;11.36;-0.5;-5.68
Centre Démocrate Humaniste;;4.14;-0.5;-2.07
Christen-Democratisch Appèl;Netherlands;15.18;0.5;7.59
Christen-Democratisch en Vlaams;Belgium;12.57;0.5;6.285
Christen-Democratisch en Vlaams;Belgium;19.96;0.5;9.98
Christen-Democratisch en Vlaams;;12.57;0.5;6.285
Christen-Democratisch en Vlaams;;19.96;0.5;9.98
ChristenUnie - Staatkundig Gereformeerde Partij;Netherlands;7.67;0.5;3.835
Christlich Demokratische Union Deutschlands/Christlich-Soziale Union in Bayern e.V.;Germany;35.3;1.0;35.3
Christlich Soziale Partei;Belgium;0.18;-0.5;-0.09
Christlich Soziale Partei;Belgium;30.34;-0.5;-15.17
Christlich Soziale Partei;;0.18;-0.5;-0.09
Christlich Soziale Partei;;30.34;-0.5;-15.17
Chrëschtlech-Sozial Vollekspartei/Parti populaire chrétien-social;Luxembourg;37.66;0.5;18.83
Ciudadanos - Partido de la Ciudadanía;Spain;3.16;1.0;3.16
Coal. RB/Реформаторски блок;Bulgaria;6.45;1.0;6.45
Coalición por Europa (Convergència Democràtica de Catalunya + Partido Nacionalista Vasco + Unió Democràtica de Catalunya + Coalición Canarias + Compromiso por Galicia);Spain;5.42;0.5;2.71
Coalition 'La Izquierda por el derecho a Decidir' (Esquerra Republicana de Catalunya + Nova Esquerra Catalana+ Independientes + et al.);Spain;4.01;-1.5;-6.015
Coalition Aliança Portugal (Partido Social Democrata + Centro Democrático Social/Partido Popular);Portugal;29.95;1.0;29.95
Coalition Front de gauche (Parti Communiste Français + Parti de Gauche + Ensemble + Front de gauche);France;6.33;-2.0;-12.66
Coalition Izquierda Plural (Izquierda Unida + Iniciativa per Catalunya Verds + Anova Nationalist Brotherhood + et al.);Spain;10.03;-2.0;-20.06
Coalition Křesťanská a demokratická unie – Československá strana lidová;Czechia;9.95;0.5;4.975
Coalition Los Pueblos Deciden (El Bloque Nacionalista Galego + Euskal Herria Bildu + et al.);Spain;2.08;-1.0;-2.08
Coalition Nacionālā apvienība (Tēvzemei un Brīvībai/LNNK + Visu Latvijai!);Latvia;14.25;2.0;28.5
Coalition Nova Slovenija + Slovenska ljudska stranka;Slovenia;16.56;0.5;8.28
Coalition Nuovo Centrodestra + Unión de Centro Democrático + Popolari per l'Italia;Italy;4.38;1.0;4.38
Coalition Partidul Social Democrat + Partidul Conservator + Uniunea Nationala pentru Progresul Romaniei;Romania;37.6;-1.0;-37.6
Coalition Primavera Europea (Compromís + Equo + Cha + et al.);Spain;1.92;-1.0;-1.92
Coalition Sojusz Lewicy Demokratycznej + Unia Pracy;Poland;9.44;-1.5;-14.16
Coalition TOP 09 + Starostové a nezávislí;Czechia;15.95;1.0;15.95
Coalition Zaļo un Zemnieku Savienība (Latvijas Zemnieku Savienība + Latvijas Zaļā Partija);Latvia;8.26;-0.5;-4.13
Coalition l'Alternative (Union des Démocrates et Indépendants + Mouvement Démocrate);France;9.94;0.5;4.97
