DIVISION_ID,ID,TYPE,ACRONYM,LABEL,MEMBER_OF_COALITION,COALITION_MEMBERS,name,alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code
BE,BE01,PARTY,CD&V,Christen-Democratisch en Vlaams,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE02,PARTY,cdH,Centre Démocrate Humaniste,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE03,PARTY,CSP,Christeliche soziale Partei ,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE04,PARTY,PS,Parti Socialiste,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE05,PARTY,sp.a,Socialistische Partij - Anders,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE06,PARTY,Open VLD,Vlaamse Liberalen en Democraten,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE07,PARTY,MR,Mouvement des Citoyens pour le Changement,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE08,PARTY,ECOLO,Ecologistes Confédérés pour I’organisation de luttes originales,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE09,PARTY,Groen! ,Groen!,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE10,PARTY,N-VA,Nieuw-Vlaamse Alliantie,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE11,PARTY,LDD,Lijst Dedecker,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
